State Name,Abbreviation,Rank,Index,Grocery,Housing,Transportation,Utilities,Health Care,Misc
Mississippi,MS,1,85.7,91.4,70.8,91.6,90.6,91.4,94.2
Oklahoma,OK,2,88.1,92.5,74.6,92.7,95.7,95.4,95.5
Arkansas,AR,3,88.4,96.5,76.4,90.9,91.1,85.9,91.2
Missouri,MO,4,88.8,93,73.5,93.8,99.5,98,98
Michigan,MI,5,89.3,94.6,78,101,96.6,92.8,85.9
Alabama,AL,6,89.5,97,72.4,92.1,104.6,87.9,96
Tennessee,TN,7,89.5,94.1,80.3,90.8,95.2,88,93.9
Kansas,KS,8,89.7,93.7,76.5,95.8,102.4,96.5,93.4
Indiana,IN,9,90.1,96.6,76.7,97.2,96.6,95.2,92
Wyoming,WY,10,90.5,92.6,79.8,95.5,92.8,94.5,102.2
Georgia,GA,11,91.2,97.7,76.8,97.4,92.2,96.9,98.9
Texas,TX,12,91.3,94,84.3,94.4,101,95.2,89.9
Iowa,IA,13,91.8,95.4,80.3,97.9,99.7,97.1,96.3
Kentucky,KY,14,91.8,99.4,80.9,98.3,96.2,90.9,88.9
New Mexico,NM,15,92.8,94.2,84.1,96.2,90,102.2,104.5
Ohio,OH,16,92.8,100.8,77.2,101.4,93.2,96.1,99.2
Nebraska,NE,17,93.3,94.6,88.4,99.9,91.2,98.9,95.4
Louisiana,LA,18,93.6,97,86.8,96.6,89.6,94.9,100.4
North Carolina,NC,19,94,100.5,83,93.9,95.3,107.5,96
Idaho,ID,20,94.2,98,86.9,107.9,87.6,100.2,93.1
West Virginia,WV,21,94.7,103.1,88.6,87.1,89.3,91.6,96
Illinois,IL,22,95.7,98.6,88.2,104.2,96.7,100.3,97
Wisconsin,WI,23,95.8,97.7,88.8,101.7,96.6,112.9,96.4
Arizona,AZ,24,97.7,94.8,95.6,103.3,107.7,95.8,99.6
Utah,UT,25,98.2,99.8,95,103.3,93.5,96.8,101
South Carolina,SC,26,98.3,104.7,87.4,92.7,108.4,101,101.8
South Dakota,SD,27,98.5,99,100.5,92.3,92.2,105.1,99.4
Pennsylvania,PA,28,98.6,98.9,93.1,107.1,106.8,92.3,100.4
North Dakota,ND,29,98.7,98.7,94.4,104.1,92,111.8,105.1
Florida,FL,30,98.9,98.2,96.1,99.2,101.3,95.5,106.2
Minnesota,MN,31,101.5,109.1,89.4,102.6,98.1,111.4,106.6
Virginia,VA,32,102,100.3,111.9,89.4,97.7,100.4,96.6
Montana,MT,33,104,104.6,110.5,95.4,86.6,105.4,105.5
Colorado,CO,34,105.5,100.2,120.7,104.8,86.2,102.2,100.6
Delaware,DE,35,106,112,101.4,103.9,100,99.3,108
Nevada,NV,36,108.3,103.3,119.2,110.3,88.9,107.4,109.2
New Hampshire,NH,37,109.3,114.2,106.9,97.4,115,117.1,103.8
Washington,WA,38,109.5,108.4,114.4,114.1,90.6,119,108.1
Maine,ME,39,117.2,117.7,125.4,104.6,113.5,116.6,109.6
Vermont,VT,40,118.7,105.8,144.1,110.8,117.6,102.7,108.1
New Jersey,NJ,41,122.5,110.9,155,110.3,107,105.1,105.4
Rhode Island,RI,42,122.5,118.1,142.1,102.3,121.2,111,109.4
Connecticut,CT,43,128.8,121.5,155.4,116.3,113.7,118.8,111.1
Alaska,AK,44,130.6,117,138.1,119.8,150.8,146.3,138.8
Oregon,OR,45,131.2,112.9,182.2,116.8,88.1,111.2,112.3
Maryland,MD,46,131.3,109,189.9,106.7,105.9,91.1,107.6
Massachusetts,MA,47,133.8,120.4,174.4,111.9,111.6,120.8,113.9
New York,NY,48,135.7,112.7,197.1,107.9,105.5,103.9,110.6
California,CA,49,138.7,111.2,196.1,122,121.6,110.8,116.6
District of Columbia,DC,50,162.9,127.7,268.2,102.7,115.6,99.6,116.9
Hawaii,HI,51,190.1,124.2,311,140.7,172.1,116.3,165.9
US Average,,,100,100,100,100,100,100,100
