,super_opeid,name_x,type_x,tier_x,iclevel_x,region_x,barrons,exp_instr_pc_2013,hbcu,ipeds_enrollment_2013,sticker_price_2013,public,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,endowment_pc_2000,exp_instr_2012,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,k_median_nozero_adjusted,staircase_score,upward_mobility_score,downward_mobility_score,shoots_and_ladders,sticker_price_preds,tech_school,social_eliteness_score,UMS_prediction,rejection_rate_preds,LinReg_Predict_UM_Score,upward_mobility_bucket,um_bucket_level,um_bucket_pred_class,LogReg_Predicted_Class,um_bucket_pred_proba_class1,um_bucket_pred_proba_class2,um_bucket_pred_proba_class3,um_bucket_pred_proba_class4,um_bucket_pred_proba_class5,um_bucket_pred_class_knn,KNN_Predicted_Class,um_bucket_pred_proba_knn_class1,um_bucket_pred_proba_knn_class2,um_bucket_pred_proba_knn_class3,um_bucket_pred_proba_knn_class4,um_bucket_pred_proba_knn_class5,RF_Regressor_Predicted_UM_Score,Predicted_RF_Class,RF_Pred_Class1,RF_Pred_Class2,RF_Pred_Class3,RF_Pred_Class4,RF_Pred_Class5,RF_Regressor_Predicted,bang4buck
0,30955,ASA Institute Of Business & Computer Technology,3,11,2,1,999,3643.3179,0,4711,12298.0,0,0.316260567,4378.0,,22011.0,,,"$12,291,059 ",0.11801676,0.081703909,0.073324025,0.0,6.603773599999999,11.425576,0.0,0.0,81.97065,0.0,0.0,17391.304347826088,0.49581583,0.41477917500000006,-0.6411179149166666,-0.22633873991666653,12298.0,1,0.105644005,0.48172032780755625,0.17451483043898805,0.6454370037354877,Worst,1,2,2,0.34048153398499675,0.4591269530589845,0.19409408694941666,0.0004671841189513405,0.00583024188765081,2,2,0.2,0.4,0.28,0.04,0.08,0.45450489680377826,1,0.8255555555555556,0.07888888888888888,0.09333333333333334,0.0022222222222222222,0.0,0.4563194430811035,0.33727368271263625
1,3537,Abilene Christian University,2,6,1,3,3,7046.2036,0,3727,29450.0,0,0.56561086,5508.0,1075.0,20836.0,0.51059997,,"$30,223,039 ",0.007326873,0.05766958,0.05672418,10.785619,22.50333,5.0599203,9.7203732,8.7882824,11.318242,31.691078000000005,0.13315579,48630.88718510405,-0.24842075499999994,0.9629659808333333,-0.506532155,0.45643382583333325,29450.0,0,1.01269886,0.8217294279262574,0.51059997,0.9762726822640295,Medium,3,3,3,0.005892903904476633,0.12536238498879862,0.5026191579033068,0.3526190324612275,0.013506520742190517,3,3,0.0,0.08,0.64,0.28,0.0,0.9409510867542,3,0.0011111111111111111,0.04555555555555556,0.8544444444444445,0.09222222222222222,0.006666666666666667,0.9606136920586223,0.32698335512167515
2,1541,Abraham Baldwin Agricultural College,1,7,1,3,999,3301.0461,0,3394,3394.0,1,0.44931505648051384,4752.0,925.0,7887.0,0.29100001,1594.2852,"$9,604,920 ",0.004942966,0.15703422,0.016730038,0.0,4.1002278,12.072892999999999,47.152618,6.3781323,29.612757000000002,0.0,0.68337131,38815.789473684206,0.051642380000000015,0.580224352,-0.4986190475,0.08160530449999998,3394.0,0,0.5672676135,0.8217294279262574,0.29100001,0.6965234741439507,Below Average,2,2,2,0.043314713859358214,0.7070780224613666,0.22860362365990144,0.020564150232004315,0.00043948978736929026,2,2,0.0,0.88,0.08,0.04,0.0,0.5820356347879226,2,0.06555555555555556,0.8966666666666666,0.034444444444444444,0.0033333333333333335,0.0,0.5869967853537754,1.7095590807307013
3,7531,Academy Of Art University,3,10,1,4,999,5039.5825,0,10508,19740.0,0,0.33,7062.0,,28224.0,,,"$87,856,929 ",0.15640348,0.023989422000000003,0.20589346,96.091957,0.0,0.0,0.0,0.0,0.0,3.908046,0.0,26171.593366979094,-0.371932367,0.7167930620833334,-0.72274168625,-0.005948624166666638,19740.0,0,0.928576005,0.8217294279262574,0.2303720901722917,0.5535369773124235,Medium,3,2,2,0.034915366906995066,0.48435815139454713,0.4728805962850414,0.007829116859711731,1.6768553704608317e-05,2,3,0.16,0.28,0.48,0.08,0.0,0.7433655723983796,3,0.051111111111111114,0.3466666666666667,0.4811111111111111,0.09111111111111111,0.03,0.748752160780716,0.36311705272711925
4,1345,Adams State University,1,5,1,4,4,5938.9795,0,2284,8014.0,1,0.261176471,5986.0,984.0,14705.0,0.47400001,1026.6212,"$18,314,567 ",0.0125,0.035096154,0.27548078,10.850439999999999,24.046920999999998,0.0,33.431084000000006,0.0,13.489737,18.181818,0.0,34691.943127962084,0.07337236999999999,0.7217552362499999,-0.48178095541666666,0.23997428083333328,8014.0,0,0.5569655355,0.8217294279262574,0.47400001,0.7863960686292483,Medium,3,3,3,0.007602435659068306,0.31597878585070793,0.5504946704545756,0.12565243575902094,0.0002716722766272203,3,3,0.0,0.32,0.44,0.24,0.0,0.7411148283476124,3,0.013333333333333334,0.10888888888888888,0.8555555555555555,0.02,0.0022222222222222222,0.736856513745695,0.9006179638757175
5,2666,Adelphi University,2,6,1,1,4,10505.104,0,5040,32340.0,0,0.625141563,11315.0,1115.0,20512.0,0.3186,,"$78,979,322 ",0.029686997000000003,0.1226202,0.06711842900000001,9.0090094,28.078077,13.963964,3.6036036,8.5585585,6.006006200000001,30.780781,0.0,40530.58216654385,0.012916613999999937,1.2238390754166666,-0.3870162369583333,0.8368228384583333,32340.0,0,0.92972192,0.8217294279262574,0.3186,1.1200100397401316,Good,4,4,4,0.001604437899074431,0.03517004409715382,0.283569111915519,0.3703125461358063,0.30934385995244645,4,5,0.0,0.0,0.12,0.4,0.48,1.2143749390386551,4,0.0044444444444444444,0.0033333333333333335,0.06777777777777778,0.8477777777777777,0.07666666666666666,1.2142170896484303,0.3784289039631004
6,2860,Adirondack Community College - SUNY Office Of Community Colleges,1,9,2,1,999,3460.824,0,4230,4302.0,1,0.192740926,6390.0,,2810.0,,,"$13,593,025 ",0.0066645509999999995,0.008251349,0.009203428,0.0,19.017094,12.606836999999999,50.0,7.4786325,8.5470085,2.1367521000000003,0.21367522,24539.42520265291,-0.05543215,0.6059882934999999,-0.5082806716666667,0.09770762183333326,4302.0,0,0.554799074,0.8217294279262574,0.2140410045954172,0.5672715523574636,Below Average,2,2,2,0.07310950542769111,0.6671509826374575,0.2583904420118434,0.0011202096289167334,0.0002288602940914481,2,2,0.16,0.68,0.16,0.0,0.0,0.5906237828691663,2,0.07555555555555556,0.8411111111111111,0.08222222222222222,0.0011111111111111111,0.0,0.5932593330428986,1.4086199291027428
7,2234,Adrian College,2,6,1,2,4,6377.8945,0,1646,32660.0,0,0.544513458,7453.0,990.0,15774.0,0.43720001,,"$10,441,712 ",0.003700278,0.067530066,0.017576318,19.631903,28.834356,0.61349696,12.269938,5.5214725,16.564417000000002,16.564417000000002,0.0,47816.34938409855,-0.085199426,0.8285071658333334,-0.37304411891666667,0.4554630469166667,32660.0,0,0.868805135,0.8217294279262574,0.43720001,0.9562645939912019,Medium,3,3,3,0.011543944201833075,0.16735816914247134,0.5673727931964475,0.23777738850587266,0.015947704953375552,3,3,0.0,0.0,0.72,0.28,0.0,0.8878428723229067,3,0.005555555555555556,0.027777777777777776,0.8122222222222222,0.14333333333333334,0.011111111111111112,0.8850918642741409,0.2536764132986324
8,11484,Advanced Institute Of Hair Design,3,11,2,2,999,2502.1504,0,355,,0,0.750412063,6917.382126221801,,10707.964,,,"$307,487 ",0.009090909,0.071753249,0.036201298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25678.49686847599,-0.621124404,1.3113228399583334,-0.7991132075,0.5122096324583334,6240.9396,0,0.7560919564999999,0.48172032780755625,0.20141937252003,0.6648936474051563,Best,5,3,3,0.12409863390347407,0.288600902889403,0.33831589746360036,0.054380319370256044,0.19460424637326657,1,1,0.48,0.24,0.2,0.04,0.04,1.0669779907475072,1,0.4822222222222222,0.2388888888888889,0.25222222222222224,0.021111111111111112,0.005555555555555556,1.0566066214994863,2.1011625236019484
9,31275,Advanced Technology Institute,3,11,2,3,999,8173.1704,0,824,13255.0,0,0.681415929,3814.0,,18350.0,0.096600004,,"$6,635,811 ",0.043956045,0.26373628,0.021978023,0.0,0.0,0.0,0.0,0.0,15.163935,0.0,84.836067,35490.19607843137,0.23746952000000002,0.7699899129166666,-0.5021471440833334,0.26784276883333324,13255.0,1,0.440092489,0.48172032780755625,0.096600004,0.5006983377705584,Medium,3,1,1,0.7962393747575809,0.0834459998048535,0.09761187592132013,0.017124806107357907,0.005577943408887625,3,1,0.28,0.28,0.28,0.12,0.04,0.7338271461441955,3,0.16333333333333333,0.05444444444444444,0.7333333333333333,0.04888888888888889,0.0,0.6959116238452643,0.5809052530491638
